matched_city, latitude, longitude, n_tweets 
chicago, 41.88415, -87.632409, 39 
cincinnati, 39.1306, -84.520554, 5 
roseville, 38.748554, -121.284588, 2 
new york, 40.773041, -73.957489, 42 
lewiston, 44.098555, -70.218354, 1 
sarasota, 27.33888, -82.539629, 2 
san diego, 32.715695, -117.161719, 16 
pueblo, 38.26386, -104.612374, 1 
portland, 45.511795, -122.675629, 11 
westside, 42.07497, -95.096789, 2 
asheville, 35.59846, -82.553144, 1 
atlanta, 33.747421, -84.412048, 29 
irvine, 33.686887, -117.825348, 2 
boston, 42.358635, -71.056699, 18 
st louis, 38.62774, -90.199514, 10 
los angeles, 34.047501, -118.207367, 65 
danville, 37.645975, -84.774969, 1 
coachella, 33.679095, -116.175949, 1 
riverview, 27.87171, -82.329219, 1 
anchorage, 61.21755, -149.858384, 3 
grand junction, 39.06879, -108.564454, 1 
chula vista, 32.6409, -117.084279, 2 
carbondale, 37.7273, -89.215799, 1 
virginia beach, 36.75502, -76.059204, 4 
philadelphia, 39.980541, -75.154533, 27 
hoboken, 40.737165, -74.030969, 3 
las vegas, 36.171915, -115.139974, 21 
farmville, 37.400757, -78.541909, 2 
pittsburgh, 40.444302, -79.954002, 7 
orlando, 28.538235, -81.377389, 8 
springfield, 39.801055, -89.643604, 2 
jonesboro, 35.835255, -90.705059, 1 
louisville, 38.25486, -85.766404, 7 
charlotte, 35.22269, -80.837764, 8 
phoenix, 33.437641, -112.031517, 9 
utopia, 29.61377, -99.527109, 1 
washington, 38.923019, -77.021721, 34 
santa fe, 35.691543, -105.937406, 1 
houston, 29.72143, -95.34185, 24 
conway, 33.834605, -79.050634, 2 
seattle, 47.60356, -122.329439, 24 
salisbury, 35.666934, -80.469354, 1 
spring, 30.084539, -95.419294, 1 
fort worth, 32.748855, -97.329389, 6 
greenville, 34.84827, -82.400114, 1 
boise, 43.60698, -116.193409, 3 
raleigh, 35.78551, -78.642669, 5 
chester, 37.357397, -77.442665, 1 
kailua, 21.396572, -157.740068, 1 
sacramento, 38.60564, -121.455833, 7 
fort pierce, 27.44865, -80.326614, 1 
austin, 30.267605, -97.742984, 18 
la mirada, 33.90707, -118.011719, 1 
dallas, 32.778155, -96.795404, 23 
stamford, 41.05182, -73.542234, 1 
bowling green, 37.094582, -86.438988, 4 
west covina, 34.072149, -117.938024, 1 
utica, 43.095808, -75.242762, 1 
kannapolis, 35.504141, -80.637628, 1 
campbell, 37.28848, -121.944864, 1 
pearland, 29.550935, -95.256869, 1 
paso robles, 35.625095, -120.691264, 1 
natchitoches, 31.760955, -93.086984, 2 
san pedro, 33.73787, -118.284614, 1 
temecula, 33.502486, -117.166931, 1 
berea, 37.570189, -84.29296, 1 
durham, 35.995275, -78.896014, 2 
st augustine, 29.892128, -81.314255, 1 
pflugerville, 30.440565, -97.619934, 1 
fort collins, 40.58147, -105.076259, 2 
rome, 34.244895, -85.166794, 1 
medina, 41.14032, -81.864019, 1 
puyallup, 47.190445, -122.295699, 1 
st peters, 38.792369, -90.595697, 1 
gloucester, 42.614353, -70.66811, 1 
pontiac, 42.636876, -83.288425, 1 
shreveport, 32.514615, -93.747274, 2 
south san francisco, 37.65589, -122.413374, 21 
honolulu, 21.27928, -157.826035, 1 
newark, 40.73197, -74.174184, 1 
moline, 41.491733, -90.489899, 1 
canton, 34.236255, -84.487329, 1 
piscataway, 40.538205, -74.473134, 1 
temperance, 41.778765, -83.568819, 1 
mansfield, 40.758515, -82.514804, 1 
tuscaloosa, 33.210435, -87.566214, 2 
minneapolis, 44.979035, -93.264929, 11 
arvada, 39.80203, -105.087844, 1 
